Brand,Cups,Calories,% from sugar,% from fat,Carbo,Fat,Protein,Fiber,Potassium,Sodium,Sugars,Vitamins,Rating
Shredded Wheat,1,80,0,0,16,0,2,3,95,0,0,0,68.235885
Shredded Wheat 'n'Bran,0.67,90,0,0,19,0,3,4,140,0,0,0,74.472949
Shredded Wheat spoon size,0.67,90,0,0,20,0,3,3,120,0,0,0,72.801787
Smacks,0.75,110,54.54545455,8.181818182,9,1,2,1,40,70,15,25,31.230054
Special K,1,110,10.90909091,0,16,0,6,1,55,230,3,25,53.131324
Strawberry Fruit Wheats,1,90,22.22222222,0,15,0,2,3,90,15,5,25,59.363993
Thin Mint Cereal,0.8,120,30,22.5,22,3,1,1,70,90,9,15,42
Total Corn Flakes,1,110,10.90909091,8.181818182,21,1,2,0,35,200,3,100,38.839746
Total Raisin Bran,1,140,40,6.428571429,15,1,3,4,230,190,14,100,28.592785
Total Whole Grain,1,100,12,9,16,1,3,3,110,200,3,100,46.658844
Triples,0.75,110,10.90909091,8.181818182,21,1,2,0,60,250,3,25,39.106174
Trix,1,110,43.63636364,8.181818182,13,1,1,0,25,140,12,25,27.753301
Vanilla Coconut,0.7,120,3.333333333,60,2,8,8,6,0,60,1,7,
Wheat Chex,0.67,100,12,9,17,1,3,3,115,230,3,25,49.787445
Wheaties,1,100,12,9,17,1,3,3,110,200,3,25,51.592193
Wheaties Honey Gold,0.75,110,29.09090909,8.181818182,16,1,2,1,60,200,8,25,36.187559
