Brand,% from sugar,% from fat,Calories,Carbo,Cups,Fat,Fiber,Potassium,Protein,Rating,Sodium,Sugars,Vitamins
Puffed Wheat,0,0,50,10,1,0,1,50,2,63.005645,0,0,0
Quaker Oat Squares,24,9,100,14,0.5,1,2,110,4,49.511874,135,6,25
Quaker Oatmeal,-4,18,100,-1,0.67,2,2.7,110,5,50.828392,0,-1,0
Raisin Bran,40,7.5,120,14,0.75,1,5,240,3,39.259197,210,12,25
Raisin Nut Bran,32,18,100,10.5,0.5,2,2.5,140,3,39.7034,140,8,25
Raisin Squares,26.66666667,0,90,15,0.5,0,2,110,2,55.333142,0,6,25
Rice Chex,7.272727273,0,110,23,1.13,0,0,30,1,41.998933,240,2,25
Rice Krispies,10.90909091,0,110,22,1,0,0,35,2,40.560159,290,3,25
Shredded Wheat,0,0,80,16,1,0,3,95,2,68.235885,0,0,0
Shredded Wheat 'n'Bran,0,0,90,19,0.67,0,4,140,3,74.472949,0,0,0
Shredded Wheat spoon size,0,0,90,20,0.67,0,3,120,3,72.801787,0,0,0
Smacks,54.54545455,8.181818182,110,9,0.75,1,1,40,2,31.230054,70,15,25
Special K,10.90909091,0,110,16,1,0,1,55,6,53.131324,230,3,25
Strawberry Fruit Wheats,22.22222222,0,90,15,1,0,3,90,2,59.363993,15,5,25
Thin Mint Cereal,30,22.5,120,22,0.8,3,1,70,1,42,90,9,15
Total Corn Flakes,10.90909091,8.181818182,110,21,1,1,0,35,2,38.839746,200,3,100
Total Raisin Bran,40,6.428571429,140,15,1,1,4,230,3,28.592785,190,14,100
Total Whole Grain,12,9,100,16,1,1,3,110,3,46.658844,200,3,100
Triples,10.90909091,8.181818182,110,21,0.75,1,0,60,2,39.106174,250,3,25
Trix,43.63636364,8.181818182,110,13,1,1,0,25,1,27.753301,140,12,25
Vanilla Coconut,3.333333333,60,120,2,0.7,8,6,0,8,,60,1,7
Wheat Chex,12,9,100,17,0.67,1,3,115,3,49.787445,230,3,25
Wheaties,12,9,100,17,1,1,3,110,3,51.592193,200,3,25
Wheaties Honey Gold,29.09090909,8.181818182,110,16,0.75,1,1,60,2,36.187559,200,8,25
